DayOfWeek,Origin_Airport,Scheduled_Departure,Departure_Time,Dep_Delay,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Del_morethan15,Cancelled,Diverted,Distance,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers
3,LAX,900,857,-3.0,1729,1728,-1.0,0,0,0,2475.0,10.0,9.0,0.0,0,0,1
4,,900,1054,114.0,1729,1910,101.0,1,0,0,2475.0,50.0,26.0,,0,0,1
5,,900,906,25.0,1729,1745,16.0,1,0,0,2475.0,8.0,39.0,16.0,0,0,1
6,LAX,900,857,16.0,1729,1732,3.0,0,0,0,2475.0,11.0,14.0,0.0,0,0,1
7,LAX,900,852,-8.0,1729,1727,-2.0,0,0,0,2475.0,0.0,19.0,0.0,0,0,1
1,LAX,900,857,-3.0,1729,1737,8.0,0,0,0,2475.0,4.0,6.0,0.0,0,0,1
2,LAX,900,854,,1729,1748,19.0,1,0,0,2475.0,0.0,26.0,19.0,0,0,1
3,LAX,900,854,-6.0,1729,1725,-4.0,0,0,0,2475.0,0.0,39.0,,0,0,1
4,LAX,900,910,10.0,1729,1808,39.0,1,0,0,2475.0,0.0,23.0,39.0,0,0,1
5,LAX,900,858,14.0,1729,1750,21.0,1,0,0,2475.0,0.0,16.0,21.0,0,0,1
6,LAX,900,855,16.0,1729,1747,18.0,1,0,0,2475.0,4.0,38.0,,0,0,1
7,LAX,900,853,-7.0,1729,1725,-4.0,0,0,0,2475.0,0.0,24.0,0.0,0,0,1
1,LAX,900,913,13.0,1729,1717,-12.0,0,0,0,2475.0,11.0,11.0,0.0,0,0,1
2,LAX,900,857,-3.0,1729,1745,16.0,1,0,0,,0.0,0.0,16.0,0,0,1
3,LAX,900,856,-4.0,1729,1741,12.0,0,0,0,2475.0,4.0,28.0,0.0,0,0,1
4,LAX,900,903,3.0,1729,1815,46.0,1,0,0,2475.0,0.0,7.0,46.0,0,0,1
5,LAX,900,900,23.0,1729,1751,22.0,1,0,0,2475.0,6.0,10.0,22.0,0,0,1
6,LAX,900,851,15.0,1729,1718,-11.0,0,0,0,2475.0,11.0,37.0,0.0,0,0,1
7,LAX,900,853,-7.0,1729,1733,4.0,0,0,0,2475.0,0.0,38.0,0.0,0,0,1
2,LAX,900,856,-4.0,1729,1748,19.0,1,0,0,2475.0,0.0,37.0,19.0,0,0,1
3,LAX,900,901,,1729,1752,23.0,1,0,0,2475.0,1.0,33.0,22.0,0,0,1
4,LAX,900,1119,139.0,1729,1950,141.0,1,0,0,2475.0,47.0,27.0,2.0,0,0,1
5,LAX,900,907,36.0,1729,1803,34.0,1,0,0,2475.0,19.0,8.0,34.0,0,0,1
6,LAX,900,916,34.0,1729,1757,28.0,1,0,0,2475.0,9.0,9.0,28.0,0,0,1
7,LAX,900,856,-4.0,1729,1756,27.0,1,0,0,2475.0,1.0,38.0,27.0,0,0,1
5,JFK,1245,1241,20.0,1545,1631,46.0,1,0,0,2475.0,12.0,20.0,46.0,0,0,1
6,JFK,1245,1242,15.0,1545,1528,-17.0,0,0,0,2475.0,0.0,7.0,,0,0,1
7,JFK,1245,1245,0.0,1545,1538,-7.0,0,0,0,2475.0,0.0,18.0,0.0,0,0,1
1,JFK,1245,1243,-2.0,1545,1538,-7.0,0,1,0,2475.0,0.0,37.0,0.0,0,0,1
2,JFK,1245,1242,-3.0,1545,1516,,0,0,0,,4.0,0.0,0.0,0,0,1
